dwell_time_total,context,country,country_name,weight,age,age_group,gender,q06_vote,q01_currently_distributed,q03_household_income,q02_should_distributed,q04_household_size,q05_income,q05_income_group,q08_gap,q13_responsibility_govt,q14_live,q15_education
107,3,ES,Spain,1.38016368045989,55_and_over,4,1,16,2,3,4,3,NA,NA,NA,NA,NA,NA
181,3,ES,Spain,0.45630889606036246,18_34,2,1,20,4,4,4,5,341,1,3,6,NA,12
1883,2,ES,Spain,1.38016368045989,55_and_over,4,1,15,3,3,5,5,342,1,2,2,4,15
119,3,ES,Spain,0.7212800061246206,18_34,2,2,17,1,3,5,4,NA,NA,NA,NA,NA,NA
NA,3,ES,Spain,0.8618055566446141,35_54,3,1,15,4,5,6,1,321,1,2,6,1,16
36,2,ES,Spain,0.7212800061246206,18_34,2,2,13,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
167,2,ES,Spain,1.3622419429943156,35_54,3,2,19,6,3,6,4,336,1,1,1,4,13
538,2,ES,Spain,0.45630889606036246,18_34,2,1,15,3,3,5,2,326,1,3,3,1,14
55,3,ES,Spain,2.18160214821541,55_and_over,4,2,13,2,4,6,8,360,1,5,6,NA,NA
496,3,ES,Spain,1.3622419429943156,35_54,3,2,14,3,3,3,3,331,1,1,2,1,14
NA,2,ES,Spain,0.8618055566446141,35_54,3,1,19,1,3,6,1,324,1,1,1,NA,NA
134,2,ES,Spain,0.45630889606036246,18_34,2,1,16,2,3,6,3,332,1,NA,NA,NA,NA
138,3,ES,Spain,0.8618055566446141,35_54,3,1,16,1,4,6,2,326,1,1,NA,NA,NA
101,2,ES,Spain,0.45630889606036246,18_34,2,1,19,3,3,4,4,336,1,3,3,1,13
403,2,ES,Spain,0.8618055566446141,35_54,3,1,20,1,2,1,NA,NA,NA,NA,NA,NA,NA
405,3,ES,Spain,1.3622419429943156,35_54,3,2,20,1,2,1,NA,NA,NA,NA,NA,NA,NA
NA,3,ES,Spain,2.18160214821541,55_and_over,4,2,14,2,4,4,3,331,1,1,1,4,14
54,3,ES,Spain,1.3622419429943156,35_54,3,2,20,3,5,NA,NA,NA,NA,NA,NA,NA,NA
100,2,ES,Spain,1.38016368045989,55_and_over,4,1,17,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,3,ES,Spain,0.45630889606036246,18_34,2,1,19,6,4,NA,NA,NA,NA,NA,NA,NA,NA
346,3,ES,Spain,1.38016368045989,55_and_over,4,1,13,2,3,3,2,327,1,2,2,1,16
2089,3,ES,Spain,0.45630889606036246,18_34,2,1,20,2,3,4,3,335,1,1,NA,NA,NA
NA,3,ES,Spain,1.3622419429943156,35_54,3,2,13,4,3,1,3,333,1,5,5,1,15
95,2,ES,Spain,1.38016368045989,55_and_over,4,1,16,3,3,4,2,326,1,3,6,1,16
NA,3,ES,Spain,1.3622419429943156,35_54,3,2,13,6,3,6,3,333,1,3,3,2,15
276,2,ES,Spain,0.45630889606036246,18_34,2,1,16,6,3,1,4,336,1,4,5,1,14
134,2,ES,Spain,0.8618055566446141,35_54,3,1,20,1,5,3,5,341,1,2,2,NA,NA
36,2,ES,Spain,0.8618055566446141,35_54,3,1,19,1,5,NA,NA,NA,NA,NA,NA,NA,NA
49,3,ES,Spain,0.45630889606036246,18_34,2,1,20,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
