state,year,Legalization_medical
Alabama,1973,0
Alabama,1974,0
Alabama,1975,0
Alabama,1976,0
Alabama,1977,0
Alabama,1978,0
Alabama,1979,0
Alabama,1980,0
Alabama,1981,0
Alabama,1982,0
Alabama,1983,0
Alabama,1984,0
Alabama,1985,0
Alabama,1986,0
Alabama,1987,0
Alabama,1988,0
Alabama,1989,0
Alabama,1990,0
Alabama,1991,0
Alabama,1992,0
Alabama,1993,0
Alabama,1994,0
Alabama,1995,0
Alabama,1996,0
Alabama,1997,0
Alabama,1998,0
Alabama,1999,0
Alabama,2000,0
Alabama,2001,0
Alabama,2002,0
Alabama,2003,0
Alabama,2004,0
Alabama,2005,0
Alabama,2006,0
Alabama,2007,0
Alabama,2008,0
Alabama,2009,0
Alabama,2010,0
Alabama,2011,0
Alabama,2012,0
Alabama,2013,0
Alabama,2014,0
Alabama,2015,0
Alabama,2016,1
Alabama,2017,0
Alabama,2018,0
Alabama,2019,0
Alabama,2020,0
Alaska,1973,0
Alaska,1974,0
Alaska,1975,0
Alaska,1976,0
Alaska,1977,0
Alaska,1978,0
Alaska,1979,0
Alaska,1980,0
Alaska,1981,0
Alaska,1982,0
Alaska,1983,0
Alaska,1984,0
Alaska,1985,0
Alaska,1986,0
Alaska,1987,0
Alaska,1988,0
Alaska,1989,0
Alaska,1990,0
Alaska,1991,0
Alaska,1992,0
Alaska,1993,0
Alaska,1994,0
Alaska,1995,0
Alaska,1996,0
Alaska,1997,0
Alaska,1998,1
Alaska,1999,0
Alaska,2000,0
Alaska,2001,0
Alaska,2002,0
Alaska,2003,0
Alaska,2004,0
Alaska,2005,0
Alaska,2006,0
Alaska,2007,0
Alaska,2008,0
Alaska,2009,0
Alaska,2010,0
Alaska,2011,0
Alaska,2012,0
Alaska,2013,0
Alaska,2014,0
Alaska,2015,0
Alaska,2016,0
Alaska,2017,0
Alaska,2018,0
Alaska,2019,0
Alaska,2020,0
Arizona,1973,0
Arizona,1974,0
Arizona,1975,0
Arizona,1976,0
Arizona,1977,0
Arizona,1978,0
Arizona,1979,0
Arizona,1980,0
Arizona,1981,0
Arizona,1982,0
Arizona,1983,0
Arizona,1984,0
Arizona,1985,0
Arizona,1986,0
Arizona,1987,0
Arizona,1988,0
Arizona,1989,0
Arizona,1990,0
Arizona,1991,0
Arizona,1992,0
Arizona,1993,0
Arizona,1994,0
Arizona,1995,0
Arizona,1996,0
Arizona,1997,0
Arizona,1998,0
Arizona,1999,0
Arizona,2000,0
Arizona,2001,0
Arizona,2002,0
Arizona,2003,0
Arizona,2004,0
Arizona,2005,0
Arizona,2006,0
Arizona,2007,0
Arizona,2008,0
Arizona,2009,0
Arizona,2010,1
Arizona,2011,0
Arizona,2012,0
Arizona,2013,0
Arizona,2014,0
Arizona,2015,0
Arizona,2016,0
Arizona,2017,0
Arizona,2018,0
Arizona,2019,0
Arizona,2020,0
Arkansas,1973,0
Arkansas,1974,0
Arkansas,1975,0
Arkansas,1976,0
Arkansas,1977,0
Arkansas,1978,0
Arkansas,1979,0
Arkansas,1980,0
Arkansas,1981,0
Arkansas,1982,0
Arkansas,1983,0
Arkansas,1984,0
Arkansas,1985,0
Arkansas,1986,0
Arkansas,1987,0
Arkansas,1988,0
Arkansas,1989,0
Arkansas,1990,0
Arkansas,1991,0
Arkansas,1992,0
Arkansas,1993,0
Arkansas,1994,0
Arkansas,1995,0
Arkansas,1996,0
Arkansas,1997,0
Arkansas,1998,0
Arkansas,1999,0
Arkansas,2000,0
Arkansas,2001,0
Arkansas,2002,0
Arkansas,2003,0
Arkansas,2004,0
Arkansas,2005,0
Arkansas,2006,0
Arkansas,2007,0
Arkansas,2008,0
Arkansas,2009,0
Arkansas,2010,0
Arkansas,2011,0
Arkansas,2012,0
Arkansas,2013,0
