State.name,State.abbr,year,total.views.year
Alabama,AL,1965,2
Alabama,AL,1966,2
Alabama,AL,1967,4
Alabama,AL,1968,5
Alabama,AL,1969,3
Alabama,AL,1970,2
Alabama,AL,1971,3
Alabama,AL,1972,6
Alabama,AL,1973,14
Alabama,AL,1974,5
Alabama,AL,1975,6
Alabama,AL,1976,4
Alabama,AL,1977,3
Alabama,AL,1978,6
Alabama,AL,1979,2
Alabama,AL,1980,5
Alabama,AL,1981,1
Alabama,AL,1984,6
Alabama,AL,1985,4
Alabama,AL,1986,1
Alabama,AL,1987,4
Alabama,AL,1988,2
Alabama,AL,1989,1
Alabama,AL,1992,6
Alabama,AL,1993,3
Alabama,AL,1994,9
Alabama,AL,1995,13
Alabama,AL,1996,8
Alabama,AL,1997,11
Alabama,AL,1998,18
Alabama,AL,1999,31
Alabama,AL,2000,21
Alabama,AL,2001,14
Alabama,AL,2002,19
Alabama,AL,2003,42
Alabama,AL,2004,27
Alabama,AL,2005,40
Alabama,AL,2006,39
Alabama,AL,2007,53
Alabama,AL,2008,51
Alabama,AL,2009,35
Alabama,AL,2010,26
Alabama,AL,2011,41
Alabama,AL,2012,68
Alabama,AL,2013,87
Alabama,AL,2014,130
Alabama,AL,2015,65
Alabama,AL,2016,51
Alabama,AL,2017,64
Alabama,AL,2018,29
Alabama,AL,2019,62
Alabama,AL,2020,62
Alabama,AL,2021,14
Alaska,AK,1966,2
Alaska,AK,1967,2
Alaska,AK,1968,3
Alaska,AK,1969,4
Alaska,AK,1972,1
Alaska,AK,1973,1
Alaska,AK,1974,2
Alaska,AK,1975,1
Alaska,AK,1976,5
Alaska,AK,1977,1
Alaska,AK,1978,3
Alaska,AK,1980,1
Alaska,AK,1981,1
Alaska,AK,1982,1
Alaska,AK,1983,1
Alaska,AK,1984,2
Alaska,AK,1985,2
Alaska,AK,1986,5
Alaska,AK,1987,3
Alaska,AK,1988,2
Alaska,AK,1989,2
Alaska,AK,1990,3
Alaska,AK,1993,1
Alaska,AK,1994,2
Alaska,AK,1995,9
Alaska,AK,1996,5
Alaska,AK,1997,5
Alaska,AK,1998,14
Alaska,AK,1999,18
Alaska,AK,2000,13
Alaska,AK,2001,17
Alaska,AK,2002,11
Alaska,AK,2003,14
Alaska,AK,2004,11
Alaska,AK,2005,22
Alaska,AK,2006,14
Alaska,AK,2007,8
Alaska,AK,2008,15
Alaska,AK,2009,17
Alaska,AK,2010,16
Alaska,AK,2011,18
Alaska,AK,2012,48
Alaska,AK,2013,53
Alaska,AK,2014,43
