222947|1480881|STANLEY S. HUBBARD REVOCABLE TRUST|TRUST AGREEMENT|||1|||X|OCT|1979|||X|12/21/2011|^|
222948|1480883|STANLEY S. HUBBARD REVOCABLE TRUST|TRUST AGREEMENT|||1|||X|OCT|1979|||X|12/21/2011|^|
222949|1480886|STANLEY S. HUBBARD REVOCABLE TRUST|TRUST AGREEMENT|||1|||X|OCT|1979|||X|12/21/2011|^|
222950|1480887|STANLEY S. HUBBARD REVOCABLE TRUST|TRUST AGREEMENT|||1|||X|OCT|1979|||X|12/21/2011|^|
222952|1480908|ARTICLES OF INCORPORATION|STATE OF CALIFORNIA|04/24/1998||1|||||||||12/21/2011|^|
222953|1480908|BY-LAWS|CORPORATION|04/24/1998||2|||||||||12/21/2011|^|
222954|1479522|MEMBERSHIP AGREEMENT RENEWAL|NATIONAL PUBLIC RADIO|10/01/2011|09/30/2012|1|||||||||12/21/2011|^|
222955|1479522|CHARTER OF THE ST. LAWRENCE UNIVERSITY|BOARD OF REGENTS OF THE UNIVERSITY OF THE STATE OF NEW YORK|07/21/1995|NONE|2|||||||||12/21/2011|^|
222956|1480866|ARTICLES OF INCORPORATION|STATE OF CALIFORNIA|||1|||X|OCT|1996|||X|12/21/2011|^|
222957|1480866|CERTIFICATE OF AMENDMENT|STATE OF CALIFORNIA|||2|||X|OCT|1996|||X|12/21/2011|^|
222958|1480866|BYLAWS|N/A|||3|||X|OCT|1996|||X|12/21/2011|^|
206424|1464390|FIRST LIEN SECURITY AGREEMENT       (COPY ON FILE)|SALEM COMMUNICATIONS CORPORATION ('SALEM'), SALEM COMMUNICATIONS HOLDING CORPORATION, EACH OF THE OTHER DIRECT AND INDIRECT SUBSIDIARIES OF SALEM, AND BANK OF AMERICA, N.A., AS ADMINISTRATIVE AGENT.|||5|||X|DEC|2009|DEC|2012||02/06/2012|^|
206425|1464390|GUARANTEE AGREEMENT   
(COPY ON FILE)|SALEM COMMUNICATIONS CORPORATION ('SALEM'), SALEM COMMUNICATIONS HOLDING CORPORATION, EACH OF THE OTHER DIRECT AND INDIRECT SUBSIDIARIES OF SALEM, AND BANK OF AMERICA, N.A., AS ADMINISTRATIVE AGENT.|||6|||X|DEC|2009|DEC|2012||12/21/2011|^|
206428|1464390|SECOND LIEN SECURITY AGREEMENT (COPY ON FILE)|SALEM COMMUNICATIONS CORPORATION ('SALEM'), SALEM COMMUNICATIONS HOLDING CORPORATION, EACH OF THE OTHER DIRECT AND INDIRECT SUBSIDIARIES OF SALEM, AND THE BANK OF NEW YORK MELLON TRUST COMPANY, N.A., AS COLLATERAL AGENT.|||9|||X|DEC|2009|DEC|2016||02/06/2012|^|
206429|1464390|NOTATIONAL GUARANTEES     (COPY ON FILE)|SALEM COMMUNICATIONS CORPORATION ('SALEM'), SALEM COMMUNICATIONS HOLDING CORPORATION, AND EACH OF THE OTHER DIRECT AND INDIRECT SUBSIDIARIES OF SALEM.|||10|||X|DEC|2009|DEC|2016||02/06/2012|^|
222967|1481174|CERTIFICATE OF FORMATION|STATE OF DELAWARE|||1|||X|JUL|2006|||X|12/22/2011|^|
222968|1481176|CERTIFICATE OF FORMATION|STATE OF DELAWARE|||1|||X|JAN|2006|||X|12/22/2011|^|
222969|1481176|LIMITED LIABILITY COMPANY AGREEMENT|LLC MEMBERS|||2|||X|JUN|2006|||X|12/22/2011|^|
222970|1481176|CREDIT AGREEMENT|WEBSTER BANK|||3|||X|JUN|2006|||X|12/22/2011|^|
222971|1481176|SECURITY AGREEMENT|WEBSTER BANK|||4|||X|JUN|2006|||X|12/22/2011|^|
222972|1481176|GUARANTEE AGREEMENT|WEBSTER BANK|||5|||X|JUN|2006|||X|12/22/2011|^|
222973|1481177|AMENDED AND RESTATED LIMITED PARTNERSHIP AGREEMENT|LLC PARTNERS|||1|||X|MAR|2004|||X|12/22/2011|^|
222974|1481180|CERTIFICATE OF FORMATION|STATE OF NEW YORK|||1|||X|DEC|2006|||X|12/22/2011|^|
222975|1481180|LIMITED LIABILITY COMPANY AGREEMENT|LLC MEMBERS|||2|||X|DEC|2006|||X|12/22/2011|^|
