"Package","Version"
"abind","1.4-8"
"antiword","1.3.1"
"AsioHeaders","1.22.1-2"
"askpass","1.2.1"
"astsa","2.1"
"backports","1.4.1"
"base64enc","0.1-3"
"bea.R","1.0.6"
"bigD","0.2.0"
"bit","4.0.5"
"bit64","4.0.5"
"bitops","1.0-7"
"blob","1.2.4"
"bookdown","0.40"
"brew","1.0-10"
"brio","1.1.5"
"broom","1.0.5"
"bslib","0.9.0"
"cachem","1.1.0"
"callr","3.7.3"
"cellranger","1.1.0"
"checkmate","2.3.2"
"chron","2.3-62"
"classInt","0.4-10"
"cli","3.6.3"
"clipr","0.8.0"
"coda","0.19-4"
"collections","0.3.7"
"colorspace","2.1-0"
"commonmark","1.9.0"
"conflicted","1.2.0"
"coro","1.1.0"
"cowplot","1.1.3"
"cpp11","0.4.7"
"crayon","1.5.2"
"credentials","2.0.1"
"crosstalk","1.2.1"
"curl","6.4.0"
"cyclocomp","1.1.1"
"data.table","1.14.8"
"DBI","1.2.3"
"dbplyr","2.4.0"
"desc","1.4.3"
"devtools","2.4.5"
"diffobj","0.3.5"
"digest","0.6.36"
"dotCall64","1.1-1"
"downlit","0.4.4"
"dplyr","1.1.3"
"DT","0.33"
"dtplyr","1.3.1"
"e1071","1.7-16"
"ellipsis","0.3.2"
"ellmer","0.2.1"
"evaluate","0.24.0"
"exams","2.4-0"
"extrafont","0.19"
"extrafontdb","1.0"
"fansi","1.0.5"
"farver","2.1.1"
"fastDummies","1.7.3"
"fastmap","1.2.0"
"fastmatch","1.1-4"
"fields","16.2"
"flexdashboard","0.6.2"
"fontawesome","0.5.3"
"forcats","1.0.0"
"foreach","1.5.2"
"forecast","8.23.0"
"formattable","0.2.1"
"Formula","1.2-5"
"fracdiff","1.5-3"
"fs","1.6.4"
"furrr","0.3.1"
"future","1.33.1"
"gameofthrones","1.0.2"
"gargle","1.5.2"
"generics","0.1.3"
"geosphere","1.5-18"
"gert","2.0.1"
"ggmap","4.0.0"
"ggpattern","1.1.3"
"ggplot2","3.5.1"
"ggrepel","0.9.4"
"ggspatial","1.1.9"
"ggtext","0.1.2"
"ggthemes","5.0.0"
"gh","1.4.1"
"gitcreds","0.1.2"
"glmnet","4.1-8"
"globals","0.16.2"
"glue","1.7.0"
"googledrive","2.1.1"
"googlePolylines","0.8.7"
"googlesheets4","1.1.1"
"googleVis","0.7.3"
"googleway","2.7.8"
"gridExtra","2.3"
"gridpattern","1.2.2"
"gridtext","0.1.5"
"gsheet","0.4.5"
"gt","0.10.0"
"gtable","0.3.6"
"gtExtras","0.5.0"
"harrypotter","2.1.1"
"haven","2.5.3"
"highr","0.11"
"hms","1.1.3"
"htmltools","0.5.8.1"
"htmlwidgets","1.6.4"
"httpuv","1.6.15"
"httr","1.4.7"
"httr2","1.2.0"
"hunspell","3.0.6"
"ids","1.0.1"
"igraph","1.5.1"
"ini","0.3.1"
"IRdisplay","1.1"
"IRkernel","1.3.2"
"isoband","0.2.7"
"ISOcodes","2022.09.29"
"iterators","1.0.14"
"janeaustenr","1.0.0"
"jpeg","0.1-10"
"jqr","1.4.0"
"jquerylib","0.1.4"
"jsonlite","1.8.8"
"juicyjuice","0.1.0"
"kableExtra","1.3.4"
"knitr","1.50"
"kofdata","0.2.1"
"labeling","0.4.3"
"languageserver","0.3.16"
"later","1.4.2"
"lazyeval","0.2.2"
"leaflet","2.2.2"
"leaflet.providers","2.0.0"
"lfe","2.9-0"
"lifecycle","1.0.4"
"lintr","3.1.2"
"listenv","0.9.1"
"lmtest","0.9-40"
"lobstr","1.1.2"
"lubridate","1.9.3"
"magick","2.8.1"
"magrittr","2.0.3"
"maps","3.4.2"
"maptiles","0.10.0"
"markdown","1.11"
"matrixStats","1.4.1"
"memoise","2.0.1"
"messy","0.0.2"
"mime","0.13"
"miniUI","0.1.1.1"
"modelr","0.1.11"
"munsell","0.5.1"
"ndjson","0.9.0"
"network","1.18.1"
"networkD3","0.4"
"nsyllable","1.0.1"
"OECD","0.3.0"
"openssl","2.1.1"
"openxlsx","4.2.8"
"packrat","0.9.2"
"pacman","0.5.1"
"pagedown","0.20.1"
"paletteer","1.5.0"
"pander","0.6.5"
"parallelly","1.36.0"
"pbdZMQ","0.3-13"
"pdftools","3.4.0"
"pillar","1.9.0"
"pkgbuild","1.4.4"
"pkgconfig","2.0.3"
"pkgdown","2.0.9"
"pkgload","1.3.4"
"PKI","0.1-14"
"plotly","4.10.4"
"plyr","1.8.9"
"png","0.1-8"
"praise","1.0.0"
"prettyunits","1.2.0"
"prismatic","1.1.1"
"processx","3.8.4"
"profvis","0.3.8"
"progress","1.2.2"
"promises","1.3.3"
"proxy","0.4-27"
"proxyC","0.3.4"
"pryr","0.1.6"
"ps","1.7.7"
"purrr","1.0.2"
"qpdf","1.3.2"
"qs","0.25.7"
"quadprog","1.5-8"
"quanteda","3.3.1"
"quanteda.textplots","0.94.3"
"quanteda.textstats","0.96.3"
"quantmod","0.4.26"
"R.cache","0.16.0"
"R.methodsS3","1.8.2"
"R.oo","1.26.0"
"R.utils","2.12.3"
"R6","2.6.1"
"ragg","1.2.6"
"ranger","0.16.0"
"RApiSerialize","0.1.2"
"rappdirs","0.3.3"
"rapportools","1.1"
"raster","3.6-26"
"rcmdcheck","1.4.0"
"RColorBrewer","1.1-3"
"Rcpp","1.1.0"
"RcppArmadillo","0.12.6.4.0"
"RcppEigen","0.3.4.0.0"
"RcppParallel","5.1.7"
"RcppTOML","0.2.3"
"RCurl","1.98-1.12"
"reactable","0.4.4"
"reactR","0.5.0"
"readODS","2.1.0"
"readr","2.1.4"
"readsdmx","0.3.1"
"readtext","0.90"
"readxl","1.4.3"
"rematch","2.0.0"
"rematch2","2.1.2"
"remotes","2.5.0"
"renv","1.1.5"
"repr","1.1.6"
"reprex","2.0.2"
"reshape2","1.4.4"
"rex","1.2.1"
"rJava","1.0-6"
"RJSDMX","3.6-0"
"rjson","0.2.21"
"rlang","1.1.4"
"rmarkdown","2.29"
"rnaturalearth","1.0.1"
"rnaturalearthdata","1.0.0"
"rosm","0.3.0"
"roxygen2","7.3.1"
"rprojroot","2.0.4"
"rsconnect","1.5.0"
"rsdmx","0.6-5"
"rStrava","1.3.2"
"rstudioapi","0.15.0"
"rsvg","2.6.0"
"Rttf2pt1","1.3.12"
"rversions","2.1.2"
"rvest","1.0.3"
"rworldmap","1.3-8"
"s2","1.1.7"
"S7","0.2.0"
"sandwich","3.1-0"
"sass","0.4.9"
"scales","1.3.0"
"selectr","0.4-2"
"servr","0.30"
"sessioninfo","1.2.2"
"sf","1.0-19"
"shape","1.4.6.1"
"shiny","1.8.1.1"
"shinydashboard","0.7.2"
"shinyjs","2.1.0"
"skimr","2.1.5"
"slippymath","0.3.1"
"sna","2.7-1"
"SnowballC","0.7.1"
"snowflakeauth","0.1.2"
"sourcetools","0.1.7-1"
"sp","2.1-1"
"spam","2.10-0"
"stargazer","5.2.3"
"statnet.common","4.9.0"
"stopwords","2.3"
"streamR","0.4.5"
"stringfish","0.16.0"
"stringi","1.7.12"
"stringr","1.5.0"
"striprtf","0.6.0"
"styler","1.10.3"
"summarytools","1.0.1"
"svglite","2.1.2"
"sys","3.4.3"
"systemfonts","1.0.5"
"terra","1.8-29"
"tesseract","5.2.0"
"testthat","3.2.1.1"
"textshaping","0.3.7"
"tibble","3.2.1"
"tidyr","1.3.0"
"tidyselect","1.2.0"
"tidyterra","0.7.2"
"tidytext","0.4.1"
"tidyverse","2.0.0"
"timechange","0.2.0"
"timeDate","4041.110"
"tinytex","0.52"
"tokenizers","0.3.0"
"tseries","0.10-58"
"tth","4.16-0"
"TTR","0.24.4"
"tzdb","0.4.0"
"units","0.8-5"
"urca","1.3-4"
"urlchecker","1.0.1"
"usethis","2.2.3"
"utf8","1.2.4"
"uuid","1.1-1"
"V8","4.4.0"
"vctrs","0.6.4"
"viridisLite","0.4.2"
"vroom","1.6.4"
"waldo","0.5.2"
"WDI","2.7.9"
"webshot","0.5.5"
"websocket","1.4.2"
"whisker","0.4.1"
"withr","3.0.2"
"wk","0.9.4"
"wordcloud","2.6"
"wordcloud2","0.2.1"
